# Метеостанция Роттердам / Зестинховен (аэропорт), Нидерланды, WMO_ID=6344, выборка с 19.02.2019 по 19.03.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=6344&lang=ru
#
"Местное время в Роттердаме / Зестинховене (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.03.2019 05:00";"6.0";"755.6";"755.1";"-3.8";"89";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"9.0";"4.3";"0.9";"1";"";"";"";"";
"10.03.2019 04:00";"7.0";"756.8";"756.2";"-3.5";"87";"Ветер, дующий с юга";"5";"7";"7";"100%.";"Морось незамерзающая сильная. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"600-1000";"";"";"10.0";"5.0";"0.4";"1";"";"";"";"";
"10.03.2019 03:00";"7.5";"758.2";"757.6";"-2.2";"82";"Ветер, дующий с юга";"4";"5";"5";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Морось.";"";"";"";"";"100%.";"1000-1500";"";"";"13.0";"4.6";"Осадков нет";"1";"";"";"";"";
"10.03.2019 02:00";"7.7";"759.4";"758.8";"-1.5";"75";"Ветер, дующий с западо-юго-запада";"3";"5";"7";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1500-2000";"";"";"20.0";"3.5";"Осадков нет";"1";"";"";"";"";
"10.03.2019 01:00";"8.0";"760.3";"759.7";"-0.6";"71";"Ветер, дующий с западо-юго-запада";"4";"6";"";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"22.0";"3.1";"Осадков нет";"6";"";"";"";"";
"10.03.2019 00:00";"8.2";"760.4";"760.1";"-0.4";"68";"Ветер, дующий с запада";"6";"9";"10";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"24.0";"2.6";"Осадков нет";"1";"";"";"";"";
"09.03.2019 23:00";"8.5";"760.9";"760.3";"0.3";"71";"Ветер, дующий с запада";"7";"10";"10";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"20–30%.";"2500 или более, или облаков нет.";"";"";"20.0";"3.5";"Осадков нет";"1";"";"";"";"";
"09.03.2019 22:00";"8.5";"760.9";"760.5";"0.9";"72";"Ветер, дующий с запада";"6";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"20.0";"3.6";"Осадков нет";"1";"";"";"";"";
"09.03.2019 21:00";"8.7";"760.8";"760.3";"1.6";"67";"Ветер, дующий с запада";"6";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"25.0";"2.8";"Осадков нет";"1";"";"";"";"";
"09.03.2019 20:00";"8.8";"760.6";"760.2";"2.2";"70";"Ветер, дующий с запада";"6";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"28.0";"3.6";"Осадков нет";"1";"";"";"";"";
"09.03.2019 19:00";"8.4";"760.0";"759.4";"2.5";"75";"Ветер, дующий с запада";"7";"10";"24";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Гроза";"Дождь.";"";"11.2";"";"";"2500 или более, или облаков нет.";"";"";"23.0";"4.2";"0.5";"12";"";"";"";"";
"09.03.2019 18:00";"8.3";"759.2";"758.7";"3.4";"75";"Ветер, дующий с запада";"6";"8";"12";"70 – 80%.";"Облака в целом образовывались или развивались. ";"Гроза";"Дождь.";"";"";"";"";"2500 или более, или облаков нет.";"";"";"23.0";"4.0";"";"";"";"";"";"";
"09.03.2019 17:00";"8.8";"758.4";"757.9";"2.6";"73";"Ветер, дующий с западо-северо-запада";"9";"13";"15";"70 – 80%.";"Гроза (с осадками или без них). ";"Гроза";"Дождь.";"";"";"";"";"1500-2000";"";"";"19.0";"4.1";"";"";"";"";"";"";
"09.03.2019 16:00";"8.9";"757.5";"757.0";"1.2";"77";"Ветер, дующий с запада";"10";"15";"24";"70 – 80%.";"Гроза слабая или умеренная без осадков. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"";"1500-2000";"";"";"28.0";"5.0";"";"";"";"";"";"";
"09.03.2019 15:00";"10.7";"755.8";"755.5";"-1.5";"80";"Ветер, дующий с западо-юго-запада";"14";"";"";"90  или более, но не 100%";"Морось незамерзающая слабая. ";"Дождь.";"";"";"";"";"90  или более, но не 100%";"300-600";"";"";"10.0";"7.4";"0.1";"1";"";"";"";"";
"09.03.2019 14:00";"10.4";"755.8";"755.4";"-1.9";"78";"Ветер, дующий с западо-юго-запада";"12";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"600-1000";"";"";"10.0";"6.6";"Осадков нет";"1";"";"";"";"";
"09.03.2019 13:00";"10.5";"756.3";"755.8";"-1.4";"78";"Ветер, дующий с юго-запада";"12";"18";"18";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"600-1000";"";"";"11.0";"6.8";"Осадков нет";"6";"";"";"";"";
"09.03.2019 12:00";"9.9";"757.3";"756.7";"-0.6";"80";"Ветер, дующий с западо-юго-запада";"11";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"15.0";"6.6";"Осадков нет";"1";"";"";"";"";
"09.03.2019 11:00";"9.7";"757.7";"757.3";"0.3";"81";"Ветер, дующий с западо-юго-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"16.0";"6.5";"Осадков нет";"1";"";"";"";"";
"09.03.2019 10:00";"9.1";"757.7";"757.3";"0.7";"81";"Ветер, дующий с юго-запада";"7";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"26.0";"6.0";"Осадков нет";"1";"";"";"";"";
"09.03.2019 09:00";"8.9";"757.9";"757.4";"1.5";"81";"Ветер, дующий с западо-юго-запада";"8";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"7.2";"";"";"100%.";"2000-2500";"";"";"19.0";"5.8";"Осадков нет";"1";"";"";"";"";
"09.03.2019 08:00";"9.0";"757.4";"757.1";"1.3";"82";"Ветер, дующий с западо-юго-запада";"9";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"300-600";"";"";"23.0";"6.1";"Осадков нет";"1";"";"";"";"";
"09.03.2019 07:00";"8.8";"757.0";"756.5";"1.1";"85";"Ветер, дующий с западо-юго-запада";"7";"";"17";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"7.2";"";"";"";"300-600";"";"";"30.0";"6.4";"5.0";"12";"";"";"";"";
"09.03.2019 06:00";"8.5";"756.4";"756.0";"0.9";"87";"Ветер, дующий с западо-юго-запада";"6";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"30.0";"6.4";"Осадков нет";"1";"";"";"";"";
"09.03.2019 05:00";"8.9";"756.1";"755.8";"0.9";"83";"Ветер, дующий с запада";"7";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"30.0";"6.2";"Осадков нет";"1";"";"";"";"";
"09.03.2019 04:00";"9.0";"755.9";"755.5";"0.5";"91";"Ветер, дующий с запада";"8";"12";"17";"100%.";"Дождь (незамерзающий). ";"Дождь.";"Морось.";"";"";"";"100%.";"300-600";"";"";"19.0";"7.6";"0.1";"1";"";"";"";"";
"09.03.2019 03:00";"8.5";"755.5";"755.0";"-0.6";"95";"Ветер, дующий с западо-юго-запада";"9";"13";"15";"100%.";"Дождь незамерзающий слабый. ";"Дождь.";"Морось.";"";"";"";"100%.";"200-300";"";"";"4.6";"7.8";"0.9";"1";"";"";"";"";
"09.03.2019 02:00";"7.9";"755.2";"754.8";"-1.8";"95";"Ветер, дующий с юго-запада";"10";"14";"17";"100%.";"Дождь незамерзающий слабый. ";"Дождь.";"Морось.";"";"";"";"100%.";"200-300";"";"";"3.5";"7.1";"0.6";"1";"";"";"";"";
"09.03.2019 01:00";"7.8";"755.4";"754.9";"-2.6";"89";"Ветер, дующий с юго-юго-запада";"10";"15";"16";"100%.";"Морось незамерзающая умеренная. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"";"300-600";"";"";"10.0";"6.1";"4.0";"6";"";"";"";"";
"09.03.2019 00:00";"7.4";"756.1";"755.6";"-2.5";"90";"Ветер, дующий с юго-юго-запада";"9";"13";"13";"100%.";"Дождь незамерзающий слабый. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"300-600";"";"";"9.0";"5.8";"1.0";"1";"";"";"";"";
"08.03.2019 23:00";"7.4";"757.0";"756.5";"-2.0";"87";"Ветер, дующий с юго-юго-запада";"8";"11";"13";"100%.";"Дождь незамерзающий умеренный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"300-600";"";"";"14.0";"5.4";"0.6";"1";"";"";"";"";
"08.03.2019 22:00";"7.5";"758.0";"757.5";"-1.4";"83";"Ветер, дующий с юго-запада";"9";"";"";"100%.";"Морось незамерзающая умеренная. ";"Ливни или перемещающиеся осадки.";"Дождь.";"";"";"";"100%.";"600-1000";"";"";"24.0";"4.7";"0.5";"1";"";"";"";"";
"08.03.2019 21:00";"7.8";"758.6";"758.2";"-1.2";"84";"Ветер, дующий с юго-запада";"7";"";"";"100%.";"Ливневый дождь или дождь с перерывами умеренный. ";"";"";"";"";"";"100%.";"300-600";"";"";"10.0";"5.2";"0.5";"1";"";"";"";"";
"08.03.2019 20:00";"8.7";"759.0";"758.5";"-1.1";"72";"Ветер, дующий с юго-юго-запада";"6";"";"13";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"26.0";"3.8";"";"";"";"";"";"";
"08.03.2019 19:00";"8.6";"759.4";"758.9";"-0.8";"71";"Ветер, дующий с юго-запада";"8";"13";"14";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"10.5";"";"";"2000-2500";"";"";"28.0";"3.5";"Осадков нет";"12";"";"";"";"";
"08.03.2019 18:00";"8.4";"759.8";"759.4";"-0.4";"72";"Ветер, дующий с западо-юго-запада";"8";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"30.0";"3.5";"Осадков нет";"1";"";"";"";"";
"08.03.2019 17:00";"8.7";"760.1";"759.6";"-0.2";"71";"Ветер, дующий с западо-юго-запада";"7";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"35.0";"3.6";"Осадков нет";"1";"";"";"";"";
"08.03.2019 16:00";"8.8";"760.2";"759.7";"-0.4";"70";"Ветер, дующий с западо-юго-запада";"8";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"2500 или более, или облаков нет.";"";"";"30.0";"3.6";"Осадков нет";"1";"";"";"";"";
"08.03.2019 15:00";"9.0";"760.2";"759.8";"-0.1";"67";"Ветер, дующий с западо-юго-запада";"7";"";"";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"60%.";"600-1000";"";"";"28.0";"3.2";"Осадков нет";"1";"";"";"";"";
"08.03.2019 14:00";"9.0";"760.3";"759.8";"0.3";"66";"Ветер, дующий с западо-юго-запада";"7";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"60%.";"600-1000";"";"";"30.0";"3.0";"Осадков нет";"1";"";"";"";"";
"08.03.2019 13:00";"9.1";"760.6";"760.1";"1.5";"68";"Ветер, дующий с западо-юго-запада";"7";"10";"11";"60%.";"Облака в целом образовывались или развивались. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"600-1000";"";"";"28.0";"3.4";"Осадков нет";"6";"";"";"";"";
"08.03.2019 12:00";"7.9";"760.3";"759.9";"2.0";"74";"Ветер, дующий с запада";"5";"";"";"50%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"50%.";"600-1000";"";"";"20.0";"3.5";"Осадков нет";"1";"";"";"";"";
"08.03.2019 11:00";"8.4";"760.0";"759.5";"2.7";"75";"Ветер, дующий с запада";"6";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"600-1000";"";"";"18.0";"4.1";"Осадков нет";"1";"";"";"";"";
"08.03.2019 10:00";"7.7";"759.1";"758.8";"2.7";"78";"Ветер, дующий с запада";"6";"";"";"70 – 80%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"70 – 80%.";"300-600";"";"";"19.0";"4.0";"Осадков нет";"1";"";"";"";"";
"08.03.2019 09:00";"7.0";"758.3";"757.9";"3.4";"81";"Ветер, дующий с запада";"6";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"5.8";"";"";"";"";"";"";"17.0";"3.9";"Осадков нет";"1";"";"";"";"";
